SPY,,,GOVT,,,EEMV,,,CME,,,BR,,,CBOE,,,ICE,,,ACN,,
Date,Adj Close,,Date,Adj Close,,Date,Adj Close,,Date,Adj Close,,Date,Adj Close,,Date,Adj Close,,Date,Adj Close,,Date,Adj Close,
1/30/2015,181.628922,,1/30/2015,23.995129,,1/30/2015,51.335217,,1/30/2015,70.972054,,1/30/2015,43.981628,,1/30/2015,60.72876,,1/30/2015,35.150471,,1/30/2015,75.830101,
2/2/2015,183.878235,,2/2/2015,23.938524,,2/2/2015,51.899635,,2/2/2015,72.453064,,2/2/2015,44.421528,,2/2/2015,60.276608,,2/2/2015,35.608372,,2/2/2015,77.454453,
2/27/2015,191.837326,,2/27/2015,23.57667,,2/27/2015,52.634277,,2/27/2015,79.816521,,2/27/2015,48.783951,,2/27/2015,56.736462,,2/27/2015,40.212975,,2/27/2015,81.244598,
3/2/2015,193.048492,,3/2/2015,23.449434,,3/2/2015,52.544689,,3/2/2015,80.806618,,3/2/2015,50.067024,,3/2/2015,56.21664,,3/2/2015,40.889565,,3/2/2015,82.282387,
3/31/2015,188.824371,,3/31/2015,23.718754,,3/31/2015,52.867214,,3/31/2015,79.210503,,3/31/2015,50.678925,,3/31/2015,54.260212,,3/31/2015,40.425201,,3/31/2015,84.547462,
4/1/2015,188.156662,,4/1/2015,23.797777,,4/1/2015,53.512257,,4/1/2015,79.034859,,4/1/2015,50.577587,,4/1/2015,53.608067,,4/1/2015,40.017956,,4/1/2015,84.430138,
4/30/2015,190.681259,,4/30/2015,23.574673,,4/30/2015,55.752018,,4/30/2015,76.032372,,4/30/2015,49.67474,,4/30/2015,53.182758,,4/30/2015,38.910572,,4/30/2015,85.43457,
5/1/2015,192.748489,,5/1/2015,23.500244,,5/1/2015,55.97599,,5/1/2015,75.923645,,5/1/2015,50.061676,,5/1/2015,52.464458,,5/1/2015,39.134129,,5/1/2015,86.089272,
5/29/2015,193.132706,,5/29/2015,23.500244,,5/29/2015,53.816868,,5/29/2015,78.783951,,5/29/2015,49.914268,,5/29/2015,55.507519,,5/29/2015,41.033474,,5/29/2015,88.56057,
6/1/2015,193.526016,,6/1/2015,23.43507,,6/1/2015,53.404751,,6/1/2015,78.725403,,6/1/2015,50.006397,,6/1/2015,55.071198,,6/1/2015,40.818581,,6/1/2015,88.698891,
6/30/2015,189.209732,,6/30/2015,23.295404,,6/30/2015,52.205143,,6/30/2015,78.23822,,6/30/2015,46.312363,,6/30/2015,54.274441,,6/30/2015,39.36108,,6/30/2015,89.242935,
7/1/2015,190.726379,,7/1/2015,23.226435,,7/1/2015,52.259457,,7/1/2015,78.784698,,7/1/2015,47.831112,,7/1/2015,55.469578,,7/1/2015,39.736015,,7/1/2015,90.423248,
7/31/2015,193.483856,,7/31/2015,23.543333,,7/31/2015,50.223019,,7/31/2015,80.743584,,7/31/2015,50.257389,,7/31/2015,58.789402,,7/31/2015,40.140873,,7/31/2015,95.079956,
8/3/2015,192.831238,,8/3/2015,23.59745,,8/3/2015,49.734272,,8/3/2015,81.525482,,8/3/2015,50.285168,,8/3/2015,59.140362,,8/3/2015,40.464756,,8/3/2015,95.172173,
8/31/2015,181.690979,,8/31/2015,23.522797,,8/31/2015,46.050591,,8/31/2015,79.398445,,8/31/2015,48.886814,,8/31/2015,60.003513,,8/31/2015,40.205997,,8/31/2015,86.928406,
9/1/2015,176.267929,,9/1/2015,23.567636,,9/1/2015,44.901138,,9/1/2015,76.607208,,9/1/2015,47.238422,,9/1/2015,59.358524,,9/1/2015,39.521255,,9/1/2015,85.102608,
9/30/2015,177.054947,,9/30/2015,23.735783,,9/30/2015,45.091202,,9/30/2015,78.393257,,9/30/2015,51.552795,,9/30/2015,63.861572,,9/30/2015,42.031475,,9/30/2015,90.607689,
10/1/2015,177.516953,,10/1/2015,23.771318,,10/1/2015,45.254112,,10/1/2015,79.272377,,10/1/2015,51.198856,,10/1/2015,64.023422,,10/1/2015,41.772114,,10/1/2015,90.773651,
10/30/2015,192.115219,,10/30/2015,23.668446,,10/30/2015,47.372005,,10/30/2015,79.855629,,10/30/2015,55.492607,,10/30/2015,63.82349,,10/30/2015,45.145508,,10/30/2015,99.913528,
11/2/2015,194.388138,,11/2/2015,23.601973,,11/2/2015,47.887905,,11/2/2015,81.512421,,11/2/2015,55.548485,,11/2/2015,65.042084,,11/2/2015,46.746353,,11/2/2015,100.286346,
11/30/2015,192.817383,,11/30/2015,23.573893,,11/30/2015,45.525642,,11/30/2015,82.543678,,11/30/2015,51.208176,,11/30/2015,68.745445,,11/30/2015,46.476261,,11/30/2015,99.932175,
12/1/2015,194.656052,,12/1/2015,23.637627,,12/1/2015,45.887676,,12/1/2015,82.712753,,12/1/2015,51.422394,,12/1/2015,67.060364,,12/1/2015,46.674797,,12/1/2015,100.780327,
12/31/2015,189.485062,,12/31/2015,23.513885,,12/31/2015,44.627617,,12/31/2015,79.402763,,12/31/2015,50.331158,,12/31/2015,61.988579,,12/31/2015,46.551517,,12/31/2015,97.397057,
1/4/2016,186.836166,,1/4/2016,23.570177,,1/4/2016,43.582096,,1/4/2016,77.711288,,1/4/2016,49.075916,,1/4/2016,61.1194,,1/4/2016,45.666847,,1/4/2016,94.908531,
1/29/2016,180.051224,,1/29/2016,24.020575,,1/29/2016,43.105179,,1/29/2016,78.745453,,1/29/2016,50.171913,,1/29/2016,63.63142,,1/29/2016,47.921215,,1/29/2016,98.366348,
2/1/2016,179.98613,,2/1/2016,23.964203,,2/1/2016,43.02264,,2/1/2016,78.386124,,2/1/2016,50.452934,,2/1/2016,63.172943,,2/1/2016,48.491619,,2/1/2016,99.056061,
2/29/2016,179.902512,,2/29/2016,24.246017,,2/29/2016,43.132698,,2/29/2016,80.138939,,2/29/2016,52.57935,,2/29/2016,59.696232,,2/29/2016,43.31802,,2/29/2016,93.445251,
3/1/2016,184.13147,,3/1/2016,24.076927,,3/1/2016,44.242424,,3/1/2016,81.120514,,3/1/2016,53.909508,,3/1/2016,60.469917,,3/1/2016,42.159046,,3/1/2016,96.418419,
3/31/2016,192.00386,,3/31/2016,24.236629,,3/31/2016,47.113045,,3/31/2016,84.722382,,3/31/2016,55.853699,,3/31/2016,62.626812,,3/31/2016,43.498291,,3/31/2016,107.556175,
4/1/2016,193.311768,,4/1/2016,24.20845,,4/1/2016,47.085533,,4/1/2016,85.516235,,4/1/2016,55.957287,,4/1/2016,64.122253,,4/1/2016,43.601868,,4/1/2016,108.441597,
4/29/2016,192.760559,,4/29/2016,24.152079,,4/29/2016,47.195587,,4/29/2016,81.070633,,4/29/2016,56.35281,,4/29/2016,59.396248,,4/29/2016,44.402874,,4/29/2016,106.266609,
5/2/2016,194.292725,,5/2/2016,24.11446,,5/2/2016,47.2873,,5/2/2016,82.578979,,5/2/2016,57.426373,,5/2/2016,60.460323,,5/2/2016,45.263073,,5/2/2016,107.659409,
5/31/2016,196.039734,,5/31/2016,24.1803,,5/31/2016,46.012489,,5/31/2016,86.345398,,5/31/2016,60.449318,,5/31/2016,61.016315,,5/31/2016,50.154182,,5/31/2016,111.960144,
